"","K0","R0","N","Ti","cancor.Theta.RPC","cancor.F.RPC","err.Theta.RPC","err.F.RPC","K=0","K=1","K=2","K=3","K=4","R=0","R=1","R=2","R=3","R=4"
"PCp1",0,2,200,20,0,0.990667419155818,0,0.208333384845302,100,0,0,0,0,0,18,82,0,0
"ICp1",0,2,200,20,0,0.990667419155818,0,0.208333384845302,100,0,0,0,0,5,33,62,0,0
"PCp2",0,2,200,20,0,0.990667419155818,0,0.208333384845302,100,0,0,0,0,0,19,81,0,0
"ICp2",0,2,200,20,0,0.990667419155818,0,0.208333384845302,100,0,0,0,0,6,33,61,0,0
"PCp3",0,2,200,20,0,0.990667419155818,0,0.208333384845302,100,0,0,0,0,0,15,85,0,0
"ICp3",0,2,200,20,0,0.990667419155818,0,0.208333384845302,100,0,0,0,0,2,30,68,0,0
"PCp1",0,2,200,50,0,0.992736202335199,0,0.205914157704122,100,0,0,0,0,0,0,100,0,0
"ICp1",0,2,200,50,0,0.992736202335199,0,0.205914157704122,100,0,0,0,0,0,0,100,0,0
"PCp2",0,2,200,50,0,0.992736202335199,0,0.205914157704122,100,0,0,0,0,0,0,100,0,0
"ICp2",0,2,200,50,0,0.992736202335199,0,0.205914157704122,100,0,0,0,0,0,0,100,0,0
"PCp3",0,2,200,50,0,0.992736202335199,0,0.205914157704122,100,0,0,0,0,0,0,100,0,0
"ICp3",0,2,200,50,0,0.992736202335199,0,0.205914157704122,100,0,0,0,0,0,0,100,0,0
"PCp1",0,2,200,100,0,0.993427822077994,0,0.205476242425523,100,0,0,0,0,0,0,100,0,0
"ICp1",0,2,200,100,0,0.993427822077994,0,0.205476242425523,100,0,0,0,0,0,0,100,0,0
"PCp2",0,2,200,100,0,0.993427822077994,0,0.205476242425523,100,0,0,0,0,0,0,100,0,0
"ICp2",0,2,200,100,0,0.993427822077994,0,0.205476242425523,100,0,0,0,0,0,0,100,0,0
"PCp3",0,2,200,100,0,0.993427822077994,0,0.205476242425523,100,0,0,0,0,0,0,100,0,0
"ICp3",0,2,200,100,0,0.993427822077994,0,0.205476242425523,100,0,0,0,0,0,0,100,0,0
"PCp1",2,0,20,200,0.996757041249097,0,0.145884804229918,0,0,1,99,0,0,100,0,0,0,0
"ICp1",2,0,20,200,0.996757041249097,0,0.145884804229918,0,0,3,97,0,0,100,0,0,0,0
"PCp2",2,0,20,200,0.996757041249097,0,0.145884804229918,0,0,1,99,0,0,100,0,0,0,0
"ICp2",2,0,20,200,0.996757041249097,0,0.145884804229918,0,0,4,96,0,0,100,0,0,0,0
"PCp3",2,0,20,200,0.996757041249097,0,0.145884804229918,0,0,1,99,0,0,100,0,0,0,0
"ICp3",2,0,20,200,0.996757041249097,0,0.145884804229918,0,0,2,98,0,0,100,0,0,0,0
"PCp1",2,0,50,200,0.998887115002228,0,0.0885228760079372,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,50,200,0.998887115002228,0,0.0885228760079372,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,50,200,0.998887115002228,0,0.0885228760079372,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,50,200,0.998887115002228,0,0.0885228760079372,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,50,200,0.998887115002228,0,0.0885228760079372,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,50,200,0.998887115002228,0,0.0885228760079372,0,0,0,100,0,0,100,0,0,0,0
"PCp1",2,0,100,200,0.999413363823634,0,0.0629871750385906,0,0,0,100,0,0,100,0,0,0,0
"ICp1",2,0,100,200,0.999413363823634,0,0.0629871750385906,0,0,0,100,0,0,100,0,0,0,0
"PCp2",2,0,100,200,0.999413363823634,0,0.0629871750385906,0,0,0,100,0,0,100,0,0,0,0
"ICp2",2,0,100,200,0.999413363823634,0,0.0629871750385906,0,0,0,100,0,0,100,0,0,0,0
"PCp3",2,0,100,200,0.999413363823634,0,0.0629871750385906,0,0,0,100,0,0,100,0,0,0,0
"ICp3",2,0,100,200,0.999413363823634,0,0.0629871750385906,0,0,0,100,0,0,100,0,0,0,0
